Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
169189,ARCHPROB,ARCHOSARGUS,PROBATOCEPHALUS,ARCHOSARGUS PROBATOCEPHALUS,
169191,DIPLOD01,DIPLODUS,SP,DIPLODUS SP,
169192,DIPLHOLB,DIPLODUS,HOLBROOKI,DIPLODUS HOLBROOKI,
169195,CALAMU01,CALAMUS,SP,CALAMUS SP,
169196,CALAARCT,CALAMUS,ARCTIFRONS,CALAMUS ARCTIFRONS,
169200,CALALEUC,CALAMUS,LEUCOSTEUS,CALAMUS LEUCOSTEUS,
169237,SCIAEN02, , ,SCIAENIDAE UNCL,
169238,CYNOSC01,CYNOSCION,SP,CYNOSCION SP,
169239,CYNONEBU,CYNOSCION,NEBULOSUS,CYNOSCION NEBULOSUS,
169240,CYNONOTH,CYNOSCION,NOTHUS,CYNOSCION NOTHUS,
169241,CYNOREGA,CYNOSCION,REGALIS,CYNOSCION REGALIS,
169243,CYNOAREN,CYNOSCION,ARENARIUS,CYNOSCION ARENARIUS,
169258,BAIRDI01,BAIRDIELLA,SP,BAIRDIELLA SP,
169259,BAIRCHRY,BAIRDIELLA,CHRYSURA,BAIRDIELLA CHRYSURA,
